Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
ORD00001,2025-03-15,CUST0116,Priya Kumar,Power Bank,Accessories,East,5,4615.72,23078.6,5124.22
ORD00002,2024-07-31,CUST0292,Rohit Sharma,Mouse,Technology,South,2,2900.27,5800.54,1389.33
ORD00003,2024-01-03,CUST0136,Neha Malhotra,Smartphone,Technology,West,9,26790.56,241115.04,15675.61
ORD00004,2025-12-20,CUST0231,Arjun Gupta,Webcam,Accessories,West,5,1777.44,8887.2,1700.93
ORD00005,2026-08-14,CUST0037,Sahil Kaur,Desk,Furniture,South,10,20544.39,205443.9,37439.4
ORD00006,2026-04-26,CUST0218,Aman Sharma,Mouse,Technology,South,3,1062.02,3186.06,738.15
ORD00007,2025-08-05,CUST0037,Sahil Kaur,Smartphone,Technology,East,10,65484.0,654840.0,130831.49
ORD00008,2025-05-27,CUST0225,Isha Singh,Keyboard,Technology,Central,7,3692.45,25847.15,6165.46
ORD00009,2025-09-10,CUST0253,Neha Verma,Headphones,Accessories,East,7,7578.4,53048.8,10445.67
ORD00010,2024-01-22,CUST0014,Anjali Mehta,Smartphone,Technology,East,10,77333.78,773337.8,129475.76
ORD00011,2024-07-04,CUST0296,Mehak Gupta,Smartphone,Technology,Central,8,42935.06,343480.48,80104.65
ORD00012,2025-11-17,CUST0224,Simran Kaur,Headphones,Accessories,North,7,6170.11,43190.77,5038.71
ORD00013,2026-08-25,CUST0440,Manpreet Verma,Desk,Furniture,West,8,12644.55,101156.4,10888.83
ORD00014,2026-03-02,CUST0417,Aman Malhotra,Keyboard,Technology,West,5,1169.85,5849.25,670.64
ORD00015,2025-01-05,CUST0443,Navjot Verma,Mouse,Technology,Central,1,1654.94,1654.94,144.83
ORD00016,2024-05-14,CUST0388,Manpreet Sharma,Power Bank,Accessories,East,4,3991.96,15967.84,1651.25
ORD00017,2025-12-27,CUST0225,Isha Singh,Headphones,Accessories,South,10,1317.56,13175.6,2765.07
ORD00018,2026-07-23,CUST0160,Arjun Kapoor,Mouse,Technology,North,4,1519.98,6079.92,1510.56
ORD00019,2024-10-06,CUST0237,Isha Malhotra,Smartphone,Technology,West,5,44886.29,224431.45,34062.95
ORD00020,2024-07-14,CUST0428,Sahil Mehta,Power Bank,Accessories,Central,9,1823.67,16413.03,1295.45
ORD00021,2026-03-17,CUST0261,Karan Patel,Chair,Furniture,Central,7,5591.22,39138.54,4617.37
ORD00022,2025-11-06,CUST0137,Karan Kapoor,Monitor,Technology,West,10,27603.38,276033.8,45817.38
ORD00023,2026-02-20,CUST0444,Rohit Sharma,Sofa,Furniture,Central,6,39236.13,235416.78,27423.23
ORD00024,2024-08-27,CUST0194,Rohit Kumar,Webcam,Accessories,West,4,8891.61,35566.44,5845.68
ORD00025,2025-11-10,CUST0023,Neha Gupta,Microwave,Home Appliances,South,7,19399.33,135795.31,17275.3
ORD00026,2024-04-12,CUST0254,Sahil Kumar,Smartphone,Technology,West,10,45160.38,451603.8,52566.2
ORD00027,2024-06-07,CUST0052,Manpreet Gupta,Headphones,Accessories,North,7,8946.88,62628.16,14040.39
